www.quandl.com/api/v3/datasets/ZILLOW/,Zillow Home Value Searching API,https://www.quandl.com/data/ZILLOW-Zillow-Real-Estate-Research?keyword=ny
nhjr-rpi2,Facilities Licensed by the Department of Motor Vehicles (DMV),https://catalog.data.gov/dataset/facilities-licensed-by-the-department-of-motor-vehicles-dmv
9mhd-na2n,New York City Population By Boroughs,https://catalog.data.gov/dataset/new-york-city-population-by-boroughs-fd2c0
37cg-gxjd,New York City Population By Census Tracts,https://catalog.data.gov/dataset/new-york-city-population-by-census-tracts-af944
xi7c-iiu2,New York City Population By Community Districts,https://catalog.data.gov/dataset/new-york-city-population-by-community-districts-6486e
55k6-h6qq,New York State Locality Hierarchy with Websites,https://catalog.data.gov/dataset/new-york-state-locality-hierarchy-with-websites
8qru-nyj8,Historical Data Of Foreign-Born Population in New York City,https://catalog.data.gov/dataset/historical-data-of-foreign-born-population-in-new-york-city-ec414
432v-a7hc,Population Of Selected Asian Race Subgroups In New York City By Borough,https://catalog.data.gov/dataset/population-of-selected-asian-race-subgroups-in-new-york-city-by-borough-6e1f2
fn6f-htvy,New York City Museums,https://catalog.data.gov/dataset/new-york-city-museums
w9du-8cu6,Hispanic Population By Selected Subgroups By Borough,https://catalog.data.gov/dataset/hispanic-population-by-selected-subgroups-by-borough-12194
w449-f4d7,Directory Of DCP Offices,https://catalog.data.gov/dataset/directory-of-dcp-offices-abab2
6qzy-b4x8,Total Housing Units By Occupancy Status And Tenure By Borough,https://catalog.data.gov/dataset/total-housing-units-by-occupancy-status-and-tenure-by-borough-d7fdc
43hw-uvdj,New York City Art Galleries,https://catalog.data.gov/dataset/new-york-city-art-galleries
j8gx-kc43,New York City Farmers Markets,https://catalog.data.gov/dataset/new-york-city-farmers-markets-574c2
jb7j-dtam,New York City Leading Causes of Death,https://catalog.data.gov/dataset/new-york-city-leading-causes-of-death-ce97f
43nn-pn8j,DOHMH New York City Restaurant Inspection Results,https://catalog.data.gov/dataset/dohmh-new-york-city-restaurant-inspection-results
w9ei-idxz,New York City Locations Providing Seasonal Flu Vaccinations,https://catalog.data.gov/dataset/new-york-city-locations-providing-seasonal-flu-vaccinations-5c001
mqdy-gu73,City Store - The Official Store of the City of New York,https://catalog.data.gov/dataset/city-store-the-official-store-of-the-city-of-new-york
